Textbox13,status,name_th,address_th,address_additional_th,amphur_th,province_th,region_th,contact_name,contact_admin,contact_email,owner_name,telephone,fax,name_eng,address_eng,amphur_eng,province_eng,region_eng,service_type,service_product_group,service_product_category,service_area,home_service,brand,working_day,working_time,service_center_for,receipt_job_via,conditional_selling,ar_code,ap_code,history_note,remarks,name,tambon_th
Search : ,Active,เชียงใหม่สยามทีวี (บจก.) สาขาหายยา,111/3 ถ.ช่างหล่อ ต.หายยา อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100,,เมืองเชียงใหม่,เชียงใหม่,เหนือ,บ. เชียงใหม่สยามทีวี จก.(สาขา2),"คุณดารารัตน์,คุณรัตนโชติ (คุณเบญจมาศ แผนกบัญชี 053-282222)",dararat.y@siamtv.co.th; service_chiangmai@siamtv.co.th; supawadee.t@siamtv.co.th,นายพิทักษ์ ปลื้มพิทักษ์กุล,053-276111,053-281444,"Chiang mai SiamTV Co.,Ltd (2 Branch)",111/3 Changlor T.Haiya A.Muang Chiang Mai Chiang Mai 50100,Mueang Chiang Mai,Chiang Mai,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*INSTALLATION,*REPAIR,*CLEAN","LCDTV,REFRIGERATOR,WASHER,FAN,RICE COOKER,HOTPOT,HOTPLATE,WATER HEATER,MICRO WAVE,PUMP,AIR CONDITION,OTHER",อ.เมือง ไม่เกิน 40 กม.,มี,ALL,จันทร์ - อาทิตย์,10.00 - 19.00 น.,,E-Mail,20% เครดิตดีลเลอร์,1018,592,"​ศูนย์แจ้งยกเลิกtawatchai.c@siamtv.co.th; เนื่องจากลาออกแล้ว 14-10-17
อีเมลในการแจ้งค่าชดเชยรายได้ประจำเดือน ของแต่ละสาขารบกวน แจ้งและส่งเมลมาหาบัญชีนะค่ะ   
สาขา เชียงใหม่  เบ็ญจมาศ ประพฤติ    benjamas.p@siamtv.co.th และ supawadee.t@siamtv.co.th 
สาขา ลำ","เคลม ON LINE

 ",,หายยา
Search : ,Active,เชียงใหม่สยามทีวี (บจก.) สาขาจอมทอง,198 ม.9 ต.ข่วงเปา อ.จอมทอง จ.เชียงใหม่ 50160,,จอมทอง,เชียงใหม่,เหนือ,,คุณฉายทอง ทาบุรี (091-8533300),service_jomthong@siamtv.co.th,นายพิทักษ์ ปลื้มพิทักษ์กุล,053-342222,053-342299,"Chiang Mai SiamTV Co.,Ltd (Chomthong Branch)",198 Moo.9 T.Kloungplo A.Chom Thong Chiangmai 50160,Chom Thong,Chiang Mai,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR","REFRIGERATOR,REFRIGERATOR(R600a),WASHER,BLENDERS(เครื่องปั่น),FAN,AIR COOLER(พัดลมไอเย็น),RICE COOKER,HOTPOT,HOTPLATE,WATER HEATER,MICRO WAVE,AIR CONDITION,Wall Type,Water Dispenser(ตู้กดน้ำร้อนเย็น),Chest Freezer (ตู้แช่)",สันป่าตอง ดงหล่อ ฮอด จ.เชียงใหม่ อ.เวียงหนองล่อง อ.ป่าโฮ่ง อ.ป่าซาง จ.ลำพูน,มี,TOSHIBA,จันทร์-อาทิตย์,09.00-19.00 น.,"HAIER,LG,PHILIPS,SHARP,MITSUBISHI,TLC",,20% เครดิตดีลเลอร์,-,,,   ,,ข่วงเปา
Search : ,Active,ฟิวเจอร์ อิเล็คโทรนิคส์ เซอร์วิส (บจก),30/19 ม.5 ต.ฟ้าฮ่าม อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000,,เมืองเชียงใหม่,เชียงใหม่,เหนือ,,"คุณอ้อย, คุณ ทิพย์นภา สุขเนนร์ 099-2874456 , คุณแยม (บัญชี)","fec.part.future@gmail.com (report pending) , future.inhome@gmail.com; futureelectronicchiangmai.admi@gmail.com, Sakchai.svc@gmail.com; suphannee.cm@gmail.com; acc.futurechiangmai@gmail.com",สุพรรณ์ณี ธรรมเสน (suphannee.cm@gmail.com),"053-240117-8,053-240059, 099-2874456",053-240058,"Future Electronics Sevice Co.,Ltd","30/19 Moo.5 Super Highway Chiangmai - Lampang T.Faham A.Mueang Chiang Mai, Chiang Mai 50000",Mueang Chiang Mai,Chiang Mai,,ศูนย์บริการ,"AV,HA,SHA,AIR,*REPAIR","LCDTV,REFRIGERATOR,WASHER,FAN,RICE COOKER,HOTPOT,HOTPLATE,WATER HEATER,MICRO WAVE,AIR CONDITION",จ.เชียงใหม่ รัศมีการวิ่งให้บริการลูกค้าโดยรอบประมาณ 60 กม.,มี,ALL,จันทร์-เสาร์,08.30-17.30 น.,PANASONIC,"iService System,E-Mail",20%,2512,2809,"​เดิมคือ หสม.ฟิวเจอร์ อิเล็กทรอนิคส์เซอร์วิส
เปลี่ยนแปลงอีเมล์  เดิมfuture.hf@gmail.com;suphannee.cm@gmail.com
เปลี่ยนเป็น futureelectronicchiangmai.admi@gmail.com​
คุณทราย conf.กับบัญชี ใช้ AP code 2809
ที่อยู่สำหรับ บอกทาง 30/19 ม.5 ถ.ซุปเปอร์ไฮเวย์ เชี"," 
 ",,ฟ้าฮ่าม
Search : ,Active,ร้านแม่ข่าเครื่องเย็น,62 หมู่ที่ 5 ถ.โชตนา ต.แม่สูน อ.ฝาง จ.เชียงใหม่ 50110,,ฝาง,เชียงใหม่,เหนือ,,"คุณทฤษฏี มีวรรณ 081-0241018 , 053-884095",maekha_air@hotmail.com,คุณลัดดา มีวรรณ,"081-0241018 , 053-884095",053-884-095,Maekhacooling Shop,"62 M.5., T.Mae Sun., A.Fang Chiang Mai 50110",Fang,Chiang Mai,,ศูนย์บริการ,"HA,SHA,AIR,*REPAIR","REFRIGERATOR,WASHER,FAN,RICE COOKER,HOTPLATE,WATER HEATER,MICRO WAVE,PUMP,AIR CONDITION",อ.ฝาง และ อ.ใกล้เคียง,มี,ALL,จันทร์-เสาร์,8.30 - 17.00 น.,SHARP,E-Mail,"20%,10% Midea",2723,1332,   ,,,แม่สูน
Search : ,Active,พ.พานิชย์อิเลคทริค สแคว์ (บจก.),94/7 หมู่ 7 ถ.ซุปเปอร์ไฮเวย์ ต.รอบเวียง อ.เมือง จ.เชียงราย 57000,,เมืองเชียงราย,เชียงราย,เหนือ,บ. พ.พานิชย์อิเลคทริค สแคว์ จก.,คุณธีราพร โต๊ะโท่น (คุณเมย์ 081-9529244),service@porpanich.com,นายสมเกียรติ นิมิตรรุ่งทวี,053-755155,053-716296,"Por.Panich Electric Squar Co.,Ltd",94/7 Moo.7 T.Waeng A.Muang Chiangrai 57000,Mueang Chiang Rai,Chiang Rai,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*INSTALLATION,*REPAIR,*CLEAN",,จ.เชียงราย,ไม่มี,ALL,จันทร์-เสาร์,09.00-18.00 น.,,E-Mail,20% เครดิตดีลเลอร์,1026,926,,"

รับซ่อมเฉพาะสินค้าที่ร้านขายเท่านั้น",,รอบเวียง
Search : ,Active,สมศักดิ์อิเล็กทรอนิกส์ (จ.เชียงราย),199/7 ม.3 ถ.ศรีทรายมูล - เวียงชัย ต.รอบเวียง อ.เมือง จ.เชียงราย 57000,,เมืองเชียงราย,เชียงราย,เหนือ,สมศักดิ์ อิเลคทรอนิคส์,คุณทองทิพย์ 081-9980733,"thipservice1970cr@gmail.com 
ใช้อีเมลนี้",คุณทองทิพย์ (089-7559982),053-600602,053-600602,Somsak Electronics,199/7 Moo.3 Srisaimoon-weangchai T.Robweang A.Muang Chiang Rai​ Chiang Rai 57000,Mueang Chiang Rai,Chiang Rai,,ศูนย์บริการ,"AV,HA,SHA",,จ.เชียงราย,ไม่มี,ALL,จันทร์-เสาร์,08.00-17.00 น.,,E-Mail,20% เครดิต,1029,384,"​นายสมศักดิ์ ศรีดวงแก้ว เจ้าของศูนย์บริการเสียชีวิต
ยกเลิก อีเมล somsak_service@hotmail.com;thip_service@hotmail.com; /// 19-09-2024
 ","



ทางศูนย์ยังไม่สะดวกรับงานตู้เย็น-ตู้แช่-เครื่องซักผ้าและเครื่องทำน้ำอุ่น
(วิ่งนอกสถานที่ไกลฯเพราะยังหาช่างไม่ได้)ขอให้ลูกค้ายกเข้าศูนย์เอง..update 25-4-2017

  ",,รอบเวียง
Search : ,Active,ทวียนต์มาร์เก็ตติ้ง (บจก.),99/13 ม.13 ถ.พหลโยธิน ต.สันทราย อ.เมือง จ.เชียงราย 57000,,เมืองเชียงราย,เชียงราย,เหนือ,บ. ทวียนต์มาร์เก็ตติ้ง จก.(สาขาแม่กรณ์),คุณกุ้ง แผนกเคลม 083-8637278 คุณอารุณ,service.ts3@thaweeyont.com; service.ts2@thaweeyont.com; service.ts1@thaweeyont.com,แสงไทย เหล่ารุ่งโรจน์,"053-700353-5 กด 3 , ติดต่อศูนย์บริการ เบอร์ 091-0692878",053-700356,"Thaweeyont Marketing Co.,Ltd (Meakorn Branch)",99/13 Moo.13 Paholyothin Rd. T.Sansai A.Muang Chiang Rai Chiang Rai 57000,Mueang Chiang Rai,Chiang Rai,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*INSTALLATION,*REPAIR,*CLEAN","LCDTV,REFRIGERATOR,WASHER,FAN,RICE COOKER,HOTPOT,HOTPLATE,WATER HEATER,MICRO WAVE,PUMP,AIR CONDITION,OTHER",จ.เชียงราย,มี,ALL,จันทร์ - เสาร์,8.30 - 17.30 น.,,E-Mail,20% เครดิตดีลเลอร์,M9043534,M90435340005 new,"​23/7/2019
เรียน เจ้าหน้าที่ที่เกี่ยวข้อง 
   ตามที่บริษัทฯ ได้ดำเนินการแจ้งเปลี่ยนแปลงที่อยุ่สำนักงานใหญ่ในส่วนของการซื้อสินค้าทุกอย่าง หรือใช้บริการต่างๆกรณีใช้ที่อยู่สำนักงานใหญ่
   รบกวนร้านค้าออกที่อยู่ของสำนักงานใหญ่ให้ถูกต้องด้วยทุกครั้ง ดังนี้
   ","

 สามารถรับงานโอนได้",,สันทราย
Search : ,Active,นานาการช่าง ,42 ม.3 ต.หล่ายงาว อ.เวียงแก่น จ.เชียงราย 57310,หน้าวัดบ้านทุ่งทราย ติดบ้านผู้ใหญ่บ้าน,เวียงแก่น,เชียงราย,เหนือ,,คุณสงบ - 084-8094250,sangopchaipang02@gmail.com; sangopchaipang02@gmail.com,นายสงบ ใจแปง,084-8094250,053-608170,Nana Karnchang,42 Moo.3 T.Lai-ngow A.Wiang kaen Chiangrai 57310,Wiang Kaen,Chiang Rai,,ศูนย์บริการ,"AV,HA,SHA,AIR,*REPAIR",,"อ.เวียงแก่น,ขุนตาล,เชียงของ(ใกล้เคียงเท่านั้น)",มี,TOSHIBA,จันทร์ - อาทิตย์,8.30 - 17.30,,E-Mail,20% เงินสด,1965,2376,"​คุณสงบ แจ้งว่า ยังรับงานซ่อมอยู่ แต่ไม่มีงานของโตชิบาเลย อาจจะเป็นเพราะมีdealerในพื้นที่ (ทวียนต์ จึงทำให้ไม่มีงาน) ศูนย์แจ้ง จะupdateข้อมูลมาให้ 13-Jun-17
update ข้อมูลทั้งหมดแล้ว","
 มีบริการHome Service
 ",,หล่ายงาว
Search : ,Active,บริษัท พรหมประทานอิเล็กทรอนิกส์ จำกัด,108 หมู่ 12 ต.ผางาม อ.เวียงชัย จ.เชียงราย 57210,,เวียงชัย,เชียงราย,เหนือ,,คุณพรรณี จักร์ดี,prompratanchiangrai@gmail.com,นายภราดล บุญมีรักษ์,"062-3876725 , 063-0826470",-,"PROMPRATAN ELECTRONICS CO., LTD",108 Moo 12 Pha Ngam Wiang Chai Chiang Rai 57210,Wiang Chai,Chiang Rai,,ศูนย์บริการ,"HA,SHA,AIR","REFRIGERATOR,REFRIGERATOR(R600a),WASHER,BLENDERS(เครื่องปั่น),FAN,AIR COOLER(พัดลมไอเย็น),RICE COOKER,HOTPOT,HOTPLATE,WATER HEATER,WATER PURIFIER(เครื่องกรองน้ำ),MICRO WAVE,AIR CONDITION,Wall Type,Water Dispenser(ตู้กดน้ำร้อนเย็น)",จ.เชียงราย,มี,TOSHIBA,จันทร์ - เสาร์,8.30-17.00,"HITACHI,PANASONIC,TLC",E-Mail,20%,M8900270,M89002700001,​ยกเลิก code เดิม M8500003 /M85000030001,,,ผางาม
Search : ,Active,บริษัท นพคุณเอ็นจิเนียริ่ง จำกัด,9/2 ถ.เพชรเจริญ ต.ในเมือง อ.เมือง จ.เพชรบูรณ์ 67000,,เมืองเพชรบูรณ์,เพชรบูรณ์,เหนือ,,คุณปทิตตา,service92@outlook.com;npke_home@yahoo.com,นายนพคุณ หล่อยิ่งยงไพศาล 08-1887-0522,064-4125548,0 5671 1069,"NOPPAKHUN ENGINEERING CO., LTD.","9/2 Petjarean Rd, Mueang Phetchabun, Phetchabun 67000",Mueang Phetchabun,Phetchabun,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*REPAIR","LCDTV,REFRIGERATOR,WASHER,FAN,RICE COOKER,HOTPOT,WATER HEATER,MICRO WAVE,PUMP","อ.เมือง,อ.หล่มสัก,น้ำหนาว,อ.บึงสามพัน,หนองไผ่,วิเชียรบุรีง,เขาค้อ",มี,ALL,จันทร์ - เสาร์,8.30 - 18.00 น.,"HITACHI,LG,SUMSUNG,AJ",E-Mail,20%,1976,2690,"​ยกเลิก 0 5672 1147-8 , 064-0076751,08 1786 7823 (คุณศรีภูมิ ศูนย์บริการ)","​รับซ่อมเฉพาะลูกค้าที่ซื้อจากร้าน /กรณีซื้อจากที่อื่น บริการให้ แต่อาจจะช้าหน่อย
ก่อนโอนโทรคุยก่อน",,ในเมือง
